BAT_NAME,RA,DEC,SNR,COUNTERPART_NAME,OTHER_NAME,CTPT_RA,CTPT_DEC,FLUX,FLUX_LO,FLUX_HI,CONTAM_FRAC,GAMMA,GAMMA_LO,GAMMA_HI,CHI_SQ_R,REDSHIFT,LUM,ASSOC_STRENGTH,CL2,TYPE
SWIFT J1139.0-2323,174.73854,-23.366417,6.0832777,HE 1136-2304,,174.71292,-23.36,16.61,11.47,22.38,0.0,1.76,1.33,2.22,1.0,0.027,43.442272,0,6,Sy
SWIFT J1139.0-3743,174.76135,-37.73647,72.62637,NGC 3783,,174.7572,-37.7386,181.11,176.29,185.98,0.0,1.97,1.94,2.01,6.7,0.00973,43.582027,0,4,Sy1
SWIFT J1141.3+2156,175.27829,21.922146,9.011851,PG 1138+222,,175.31734,21.939388,18.34,14.25,22.74,1.0128606E-15,1.67,1.37,1.99,0.4,0.0632,44.246822,0,4,Sy1
SWIFT J1142.2+1021,175.55186,10.344064,7.477991,NGC 3822,,175.5463,10.2778,13.79,9.85,18.24,0.0,2.04,1.64,2.51,0.3,0.0209,43.135067,0,5,Sy2
SWIFT J1144.1+3652,176.11058,36.877705,6.5995727,KUG 1141+371,,176.124,36.886,15.38,11.47,19.63,0.0,1.5,1.16,1.86,0.3,0.03806,43.71417,0,4,Sy1
SWIFT J1143.7+7942,176.174,79.67986,18.13537,UGC 06728,,176.3168,79.6815,27.2,24.04,30.52,0.0,2.18,2.02,2.35,1.6,0.00652,42.40879,0,4,Sy1.2
SWIFT J1145.6-1819,176.39668,-18.456255,21.32531,2MASX J11454045-1827149,,176.4186,-18.4543,53.26,48.37,58.32,0.0,1.99,1.87,2.12,1.3,0.03295,44.125122,0,4,Sy1
SWIFT J1148.3+0901,177.03831,9.0062475,6.8498697,2MASX J11475508+0902284,,176.9795,9.041347,11.85,8.3,15.89,7.689037E-7,2.19,1.78,2.71,1.8,0.068831,44.134716,0,4,Sy1.5
SWIFT J1149.3-0414,177.32193,-4.240784,5.6409135,2MASX J11491868-0416512,2E 1146.7-0400,177.32784,-4.280833,10.96,6.92,15.64,0.0,2.06,1.58,2.66,0.8,0.0845,44.28839,0,4,Sy1
SWIFT J1152.1-1122,178.0195,-11.390709,7.123826,PG 1149-110,,178.01477,-11.373423,15.21,10.97,20.0,0.0,2.22,1.82,2.7,0.3,0.049,43.935703,0,4,Sy1
SWIFT J1152.6-0512,178.17027,-5.1915255,6.1183743,MCG -01-30-041,SWIFT J1152.6-0512,178.159,-5.207,14.02,9.58,19.01,0.0,1.89,1.48,2.36,1.0,0.018816,43.049652,0,5,Sy1.8
SWIFT J1157.8+5529,179.52954,55.443073,9.4295845,NGC 3998,,179.4839,55.4536,14.84,11.64,18.36,0.0,2.04,1.73,2.38,0.4,0.00347,41.59578,0,4,Sy1 LINER
SWIFT J1200.8+0650,180.2411,6.8062887,10.291183,2MASX J12005792+0648226,CGCG 041-020,180.2413,6.8064,21.18,17.08,25.59,0.0,1.93,1.68,2.21,1.2,0.03604,43.80448,0,5,Sy2
SWIFT J1201.2-0341,180.30917,-3.6853056,5.5540743,Mrk 1310,,180.30981,-3.67808,11.32,7.52,15.61,0.0,2.1,1.68,2.62,3.6,0.019413,42.984272,0,4,Sy1
SWIFT J1203.0+4433,180.74925,44.523655,26.862577,NGC 4051,,180.7901,44.5313,39.54,36.68,42.49,0.0,2.28,2.18,2.39,4.3,0.00233,41.67467,0,4,Sy1.5
SWIFT J1204.5+2019,181.12465,20.306164,12.783357,ARK 347,,181.1237,20.3162,29.48,25.24,33.93,0.0,1.65,1.46,1.85,1.5,0.02244,43.52779,0,5,Sy2
SWIFT J1204.8+2758,181.20045,27.96064,6.261595,GQ Com,PG1202+281,181.17545,27.903284,10.38,7.22,13.98,0.0,2.08,1.65,2.57,1.0,0.1653,44.893085,0,4,Sy1.2
SWIFT J1204.9+3105,181.24861,31.182484,5.7222223,UGC 07064,,181.18057,31.17728,13.27,9.16,17.85,0.0,1.44,0.97,1.9,0.7,0.024997,43.276524,0,5,Sy1.9
SWIFT J1205.8+4959,181.47943,49.98523,5.251078,2MASX J12055599+4959561,,181.4834,49.99896,10.33,6.85,14.3,0.0,1.63,1.15,2.12,2.3,0.063091,43.995956,0,5,Sy1.8
SWIFT J1207.5+3355,181.87299,33.837482,5.1047444,B2 1204+34,,181.887,33.878,14.56,10.28,19.23,0.0,1.2,0.75,1.62,0.4,0.07906,44.35069,0,5,Sy2
SWIFT J1209.5+4702,182.30164,47.04303,13.369848,Mrk 198,,182.3088,47.0583,22.22,18.95,25.68,0.0,1.97,1.77,2.19,0.6,0.02422,43.472466,0,5,Sy2
SWIFT J1210.1-4637,182.52089,-46.61426,4.8959937,2MASX J12100404-4636274,,182.51678,-46.607582,18.25,12.76,24.33,0.0,1.42,0.96,1.87,0.6,0.031532,43.620865,0,5,Sy1.8
SWIFT J1210.5+3924,182.67351,39.416824,300.63422,NGC 4151,,182.6357,39.4057,538.93,535.36,542.5,4.8294172E-15,1.83,1.82,1.83,67.8,0.00332,43.117397,0,4,Sy1.5
SWIFT J1210.7+3819,182.69197,38.30859,12.90935,KUG 1208+386,,182.684,38.336,20.69,17.55,24.03,2.5948015E-12,2.02,1.82,2.24,1.3,0.02279,43.38769,0,4,Sy1
SWIFT J1211.3-3935,182.81525,-39.56838,7.7345395,2MASX J12111425-3933268,,182.80946,-39.557446,21.74,16.74,27.18,0.0,1.8,1.48,2.14,1.0,0.06108,44.28974,0,5,Sy2
SWIFT J1213.1+3239A,183.27477,32.642258,7.0246663,CGCG 187-022,,183.2888,32.5964,11.65,0.0,0.0,0.22593223,1.76,0.0,0.0,1.2,0.024895,43.216362,0,5,Sy2
SWIFT J1213.9-0531,183.45834,-5.5177283,5.7597923,2MASX J12135456-0530193,,183.47742,-5.505417,11.79,7.63,16.7,0.0,2.15,1.65,2.81,0.9,0.066,44.094307,0,4,Sy1
SWIFT J1217.2-2611,184.23634,-26.235296,5.322056,ESO 505-IG 030,,184.238,-26.2093,13.84,9.19,19.02,0.0,1.93,1.5,2.43,1.8,0.039714,43.70635,0,5,Sy2/Sy2/Pair
SWIFT J1219.4+4720,184.72852,47.32007,12.269533,M 106,,184.7396,47.304,22.0,18.57,25.64,0.0,1.82,1.61,2.04,0.9,0.00149,41.031155,0,5,Sy1.9 LINER
SWIFT J1223.7+0238,185.84622,2.6792274,10.848946,Mrk 50,,185.8506,2.6791,22.62,18.4,27.17,1.3421909E-12,2.0,1.74,2.28,0.2,0.02343,43.450897,0,4,Sy1
SWIFT J1225.8+1240,186.45265,12.679107,122.32494,NGC 4388,,186.4448,12.6621,277.38,272.9,281.88,0.0,1.75,1.73,1.78,6.5,0.00842,43.64069,0,5,Sy2
SWIFT J1202.5+3332,186.48505,33.54628,14.37781,NGC 4395,,186.4538,33.5468,25.17,21.78,28.73,0.0,1.97,1.79,2.16,0.9,0.00106,40.793564,0,5,Sy1.9
SWIFT J1232.0-4802,187.95216,-47.98224,5.177164,2MASX J12313717-4758019,,187.9042,-47.9672,15.52,10.56,21.08,4.6616475E-14,1.72,1.25,2.22,0.4,0.027826,43.439503,0,4,Sy1
SWIFT J1232.1+2009,187.99936,20.158777,6.2350645,Mrk 771,,188.015,20.1581,13.45,9.58,17.73,0.0,1.71,1.34,2.12,1.2,0.06301,44.109413,0,4,Sy1
SWIFT J1232.0-4219,188.01236,-42.317005,5.4186335,1RXS J123212.3-421745,,188.05032,-42.298027,15.79,0.0,0.0,0.04963962,1.76,0.0,0.0,0.7,0.098,44.58366,0,4,Sy1
SWIFT J1234.7-6433,188.70102,-64.56734,41.936783,RT Cru,,188.7239,-64.5656,81.41,77.73,85.17,0.0,2.43,2.36,2.5,4.1,0.0,-Infinity,0,12,Symb/WD
SWIFT J1235.6-3954,188.87096,-39.89076,71.12656,NGC 4507,,188.9026,-39.9093,188.11,182.94,193.34,0.0,1.86,1.83,1.9,14.5,0.0118,43.767406,0,5,Sy2
