id | Fermi name | Counterpart name | RA (J2000.0) | Dec (J2000.0) | Class | Redshift | Flux 1-100 GeV (ph/cm2/s) | Spectral index
74 | 2FGLJ0508.0+6737 | 1ES 0502+675 | 76.9825 | 67.62328 | BL Lac | 0.416 | (24.2+/-2.1) e-10 | 1.489
75 | 2FGLJ0506.5-0901 | 1WGA J0506.6-0857 | 76.66583 | -8.96711 | BL Lac | 0 | (5.7+/-1.4) e-10 | 2.236
76 | 2FGLJ0509.4+0542 | TXS 0506+056 | 77.35792 | 5.69319 | BL Lac | 0 | (49.4+/-2.9) e-10 | 2.059
77 | 2FGLJ0515.5+7355 | GB6 J0516+7350 | 79.12958 | 73.85242 | BL Lac | 0.249 | (3.6+/-1.1) e-10 | 1.632
78 | 2FGLJ0515.9+1528 | GB6 J0515+1527 | 78.9475 | 15.45467 | BL Lac | 0 | (13.7+/-2) e-10 | 1.939
79 | 2FGLJ0516.8-6207 | PKS 0516-621 | 79.18583 | -62.118 | BL Lac | 1.3 | (31+/-2.2) e-10 | 2.154
80 | 2FGLJ0536.2-3348 | 1RXS J053629.4-334302 | 84.12125 | -33.71736 | BL Lac | 0 | (20.8+/-1.9) e-10 | 2.391
81 | 2FGLJ0538.8-4405 | PKS 0537-441 | 84.70875 | -44.08608 | BL Lac | 0.892 | (371+/-6.8) e-10 | 2.012
82 | 2FGLJ0543.9-5532 | 1RXS J054357.3-553206 | 85.98667 | -55.53442 | BL Lac | 0 | (19.4+/-2) e-10 | 1.74
83 | 2FGLJ0558.2-3837 | EXO 0556.4-3838 | 89.525 | -38.64156 | BL Lac | 0.302 | (7+/-1.3) e-10 | 2.255
84 | 2FGLJ0558.7-7501 | PKS 0600-749 | 89.69208 | -74.98506 | BL Lac | 0 | (7.4+/-1.4) e-10 | 2.087
85 | 2FGLJ0607.4+4739 | TXS 0603+476 | 91.84667 | 47.66308 | BL Lac | 0 | (22.3+/-2) e-10 | 2.051
86 | 2FGLJ0609.6-1847 | PMN J0610-1847 | 92.57458 | -18.79442 | BL Lac | 0 | (5.6+/-1.4) e-10 | 2.2
87 | 2FGLJ0612.8+4122 | B3 0609+413 | 93.21292 | 41.377 | BL Lac | 0 | (36.3+/-2.6) e-10 | 2.028
88 | 2FGLJ0616.9+5701 | 87GB 061258.1+570222 | 94.32042 | 57.02125 | BL Lac | 0 | (11.6+/-1.5) e-10 | 1.895
89 | 2FGLJ0617.6-1716 | CRATES J061733.67-1715 | 94.39 | -17.25617 | BL Lac | 0.098 | (14.1+/-1.9) e-10 | 1.959
90 | 2FGLJ0625.2+4441 | GB6 J0625+4440 | 96.32583 | 44.66711 | BL Lac | 0 | (8.2+/-1.4) e-10 | 1.912
91 | 2FGLJ0629.3-2001 | PKS 0627-199 | 97.34875 | -19.98881 | BL Lac | 0 | (24.8+/-2.3) e-10 | 2.192
92 | 2FGLJ0630.9-2406 | TXS 0628-240 | 97.7475 | -24.11261 | BL Lac | 0 | (33.8+/-2.5) e-10 | 1.791
93 | 2FGLJ0650.7+2505 | 1ES 0647+250 | 102.69333 | 25.04986 | BL Lac | 0 | (17.8+/-2) e-10 | 1.595
94 | 2FGLJ0700.3-6611 | PKS 0700-661 | 105.13 | -66.1795 | BL Lac | 0 | (39.3+/-2.5) e-10 | 2.005
95 | 2FGLJ0706.5+3744 | GB6 J0706+3744 | 106.63167 | 37.74347 | BL Lac | 0 | (10.4+/-1.6) e-10 | 1.729
96 | 2FGLJ0710.5+5908 | 1H 0658+595 | 107.6275 | 59.13822 | BL Lac | 0.125 | (8.1+/-1.3) e-10 | 1.534
97 | 2FGLJ0710.8+4733 | S4 0707+47 | 107.69208 | 47.53642 | BL Lac | 1.292 | (8.3+/-1.4) e-10 | 2.486
98 | 2FGLJ0712.9+5032 | GB6 J0712+5033 | 108.18208 | 50.55631 | BL Lac | 0 | (17.3+/-1.8) e-10 | 2.057
99 | 2FGLJ0721.9+7120 | S5 0716+71 | 110.47125 | 71.3435 | BL Lac | 0 | (183+/-4.3) e-10 | 2.007
100 | 2FGLJ0718.7-4320 | PMN J0718-4319 | 109.68083 | -43.33069 | BL Lac | 0 | (24.7+/-2.2) e-10 | 1.884
101 | 2FGLJ0729.9+3304 | 1RXS J073026.0+330727 | 112.60875 | 33.12269 | BL Lac | 0.112 | (5.3+/-1.3) e-10 | 1.892
102 | 2FGLJ0738.0+1742 | PKS 0735+17 | 114.53042 | 17.70542 | BL Lac | 0.424 | (51.6+/-2.8) e-10 | 2.047
103 | 2FGLJ0745.0+7436 | MS 0737.9+7441 | 116.0225 | 74.56608 | BL Lac | 0.315 | (6.3+/-1.1) e-10 | 1.799
104 | 2FGLJ0753.0+5352 | 4C +54.15 | 118.25583 | 53.88311 | BL Lac | 0.73 | (11.8+/-1.5) e-10 | 2.014
105 | 2FGLJ0754.8+4824 | GB1 0751+485 | 118.69 | 48.39725 | BL Lac | 0 | (11.3+/-1.5) e-10 | 2.195
106 | 2FGLJ0757.1+0957 | PKS 0754+100 | 119.2775 | 9.94297 | BL Lac | 0.266 | (20.5+/-2) e-10 | 2.192
107 | 2FGLJ0801.5+4401 | B3 0757+441 | 120.28417 | 44.01953 | BL Lac | 0 | (5.7+/-1.2) e-10 | 2.26
108 | 2FGLJ0805.3+7535 | RX J0805.4+7534 | 121.36083 | 75.57364 | BL Lac | 0.121 | (14.5+/-1.5) e-10 | 1.677
109 | 2FGLJ0807.1-0543 | PKS 0804-05 | 121.79 | -5.68706 | BL Lac | 0 | (13.4+/-1.7) e-10 | 2.101
110 | 2FGLJ0809.8+5218 | 1ES 0806+524 | 122.455 | 52.31611 | BL Lac | 0.137097 | (24.5+/-1.9) e-10 | 1.938
111 | 2FGLJ0811.4+0149 | OJ 014 | 122.86083 | 1.78181 | BL Lac | 1.148 | (12.6+/-1.6) e-10 | 2.262
112 | 2FGLJ0814.7+6429 | GB6 J0814+6431 | 123.66375 | 64.52253 | BL Lac | 0 | (13+/-1.5) e-10 | 2.263
113 | 2FGLJ0814.0-1006 | NVSS J081411-101208 | 123.54833 | -10.2025 | BL Lac | 0 | (11.3+/-1.8) e-10 | 2.231
114 | 2FGLJ0811.1-7527 | PMN J0810-7530 | 122.76333 | -75.50761 | BL Lac | 0 | (26.5+/-2.3) e-10 | 1.712
115 | 2FGLJ0816.5+5739 | SBS 0812+578 | 124.09417 | 57.6525 | BL Lac | 0 | (9.7+/-1.4) e-10 | 1.977
116 | 2FGLJ0816.9+2049 | BZB J0816+2051 | 124.20833 | 20.85139 | BL Lac | 0 | (4.3+/-1.1) e-10 | 2.605
117 | 2FGLJ0816.4-1311 | PMN J0816-1311 | 124.1125 | -13.19794 | BL Lac | 0 | (27.5+/-2.3) e-10 | 1.796
118 | 2FGLJ0817.9+3238 | RX J0817.9+3243 | 124.46125 | 32.72769 | BL Lac | 0 | (5+/-1.1) e-10 | 2.188
119 | 2FGLJ0818.2-0935 | TXS 0815-094 | 124.45708 | -9.55839 | BL Lac | 0 | (15.2+/-1.9) e-10 | 2.042
120 | 2FGLJ0819.3+2750 | 5C 07.119 | 124.82833 | 27.79189 | BL Lac | 0 | (3.6+/-1.1) e-10 | 2.259
121 | 2FGLJ0819.6-0803 | RX J0819.2-0756 | 124.82292 | -7.94117 | BL Lac | 0 | (3.4+/-1.2) e-10 | 1.576
122 | 2FGLJ0825.9+0308 | PKS 0823+033 | 126.45958 | 3.15686 | BL Lac | 0.506 | (6.7+/-1.3) e-10 | 1.969
123 | 2FGLJ0831.9+0429 | PKS 0829+046 | 127.95333 | 4.49397 | BL Lac | 0.173777 | (50+/-2.8) e-10 | 2.047
124 | 2FGLJ0834.3+4400 | B3 0831+442 | 128.7425 | 44.06053 | BL Lac | 0 | (4.8+/-1.1) e-10 | 2.042
125 | 2FGLJ0839.7+3541 | FIRST J083943.3+354001 | 129.93083 | 35.66694 | BL Lac | 0 | (4.5+/-1.1) e-10 | 1.92
126 | 2FGLJ0843.9+5312 | BZB J0844+5312 | 131.04875 | 53.21386 | BL Lac | 0 | (5.4+/-1.1) e-10 | 2.087
127 | 2FGLJ0849.2+6606 | GB6 J0848+6605 | 132.22792 | 66.10244 | BL Lac | 0 | (5.4+/-1.1) e-10 | 1.961
128 | 2FGLJ0847.2+1134 | RX J0847.1+1133 | 131.80375 | 11.56397 | BL Lac | 0.198 | (5.3+/-1.2) e-10 | 1.483
129 | 2FGLJ0848.1-0703 | TXS 0845-068 | 131.98625 | -7.055 | BL Lac | 0 | (3.9+/-1.1) e-10 | 1.961
130 | 2FGLJ0849.8+4852 | GB6 J0850+4855 | 132.50167 | 48.91622 | BL Lac | 0 | (18.2+/-1.7) e-10 | 2.215
131 | 2FGLJ0849.0+0455 | TXS 0846+051 | 132.385 | 4.91858 | BL Lac | 0 | (5.9+/-1.3) e-10 | 1.681
132 | 2FGLJ0854.8+2005 | OJ 287 | 133.70333 | 20.1085 | BL Lac | 0.306 | (35.5+/-2.4) e-10 | 2.232
133 | 2FGLJ0856.3+2058 | TXS 0853+211 | 134.16583 | 20.96228 | BL Lac | 0 | (7.2+/-1.5) e-10 | 2.138
134 | 2FGLJ0856.6-1105 | CRATES J0856-1105 | 134.17417 | -11.08725 | BL Lac | 0 | (28.9+/-2.3) e-10 | 2.051
135 | 2FGLJ0902.4+2050 | NVSS J090226+205045 | 135.61167 | 20.846 | BL Lac | 0 | (9.1+/-1.4) e-10 | 2.01
136 | 2FGLJ0905.6+1357 | MG1 J090534+1358 | 136.39583 | 13.96769 | BL Lac | 0 | (14.5+/-1.7) e-10 | 1.811
137 | 2FGLJ0909.2+2308 | RX J0908.9+2311 | 137.25292 | 23.18664 | BL Lac | 0.223 | (8.5+/-1.7) e-10 | 1.709
138 | 2FGLJ0910.6+3329 | Ton 1015 | 137.655 | 33.49025 | BL Lac | 0 | (10.5+/-1.5) e-10 | 1.94
139 | 2FGLJ0912.5+2758 | 1RXS J091211.9+275955 | 138.04667 | 27.99108 | BL Lac | 0 | < 3.79e-10 | 1.198
140 | 2FGLJ0912.9-2102 | MRC 0910-208 | 138.25125 | -21.05625 | BL Lac | 0.198 | (8.2+/-1.6) e-10 | 1.94
141 | 2FGLJ0915.8+2932 | B2 0912+29 | 138.96833 | 29.55667 | BL Lac | 0 | (21.1+/-1.9) e-10 | 1.875
142 | 2FGLJ0929.5+5009 | GB6 J0929+5013 | 142.31458 | 50.2265 | BL Lac | 0 | (7.2+/-1.2) e-10 | 1.979
143 | 2FGLJ0934.7+3932 | GB6 J0934+3926 | 143.5275 | 39.44242 | BL Lac | 0 | (3.6+/-1) e-10 | 2.335
144 | 2FGLJ0941.4+6148 | RX J0940.3+6148 | 145.09333 | 61.80694 | BL Lac | 0.211 | (5.7+/-1.1) e-10 | 2.079
145 | 2FGLJ0945.9+5751 | GB6 J0945+5757 | 146.42583 | 57.96278 | BL Lac | 0.229 | (5.6+/-1) e-10 | 2.165
146 | 2FGLJ0946.2+0104 | RXS J094620.5+010459 | 146.58292 | 1.08144 | BL Lac | 0.557 | (3.4+/-1.2) e-10 | 1.574
147 | 2FGLJ0950.1+4554 | US 1015 | 147.54917 | 45.88864 | BL Lac | 0.399 | (4.5+/-1.1) e-10 | 1.684
148 | 2FGLJ0953.1-0839 | PMN J0953-0840 | 148.26083 | -8.67181 | BL Lac | 0 | (23.1+/-2.1) e-10 | 1.782
149 | 2FGLJ0958.6+6533 | S4 0954+65 | 149.69667 | 65.56506 | BL Lac | 0.367 | (13.6+/-1.5) e-10 | 2.415
150 | 2FGLJ1001.0+2913 | GB6 J1001+2911 | 150.2925 | 29.19364 | BL Lac | 0.558 | (10.5+/-1.4) e-10 | 2.223
151 | 2FGLJ1003.0+2219 | 1RXS J100235.8+221609 | 150.64417 | 22.27089 | BL Lac | 0 | (4.3+/-1.1) e-10 | 2.245
152 | 2FGLJ1007.7+0621 | MG1 J100800+0621 | 152.00333 | 6.35603 | BL Lac | 0 | (10.1+/-1.5) e-10 | 2.285
153 | 2FGLJ1009.7-3123 | 1RXS J101015.9-311909 | 152.56583 | -31.3185 | BL Lac | 0.143 | (8.4+/-1.6) e-10 | 2.239
154 | 2FGLJ1012.1+0631 | NRAO 350 | 153.05583 | 6.51561 | BL Lac | 0.727 | (7+/-1.4) e-10 | 2.144
155 | 2FGLJ1012.5+4227 | B3 1009+427 | 153.18417 | 42.49903 | BL Lac | 0.365 | (37.1+/-10) e-11 | 1.871
156 | 2FGLJ1015.1+4925 | 1H 1013+498 | 153.76708 | 49.43361 | BL Lac | 0.212 | (78+/-3.3) e-10 | 1.723
157 | 2FGLJ1019.0+5915 | TXS 1015+594 | 154.74417 | 59.19103 | BL Lac | 0 | (33.8+/-8.5) e-11 | 2.185
158 | 2FGLJ1019.8+6322 | GB6 J1019+6319 | 154.96208 | 63.33394 | BL Lac | 0 | (32.3+/-8.7) e-11 | 2.184
159 | 2FGLJ1023.1-0115 | RX J1022.7-0112 | 155.68208 | -1.21717 | BL Lac | 0 | (6.9+/-1.3) e-10 | 1.877
160 | 2FGLJ1023.6+2959 | RX J1023.6+3001 | 155.91583 | 30.01536 | BL Lac | 0.433 | < 3.20e-10 | 1.276
161 | 2FGLJ1023.8-4335 | RX J1023.9-4336 | 155.98333 | -43.6 | BL Lac | 0 | (14.9+/-1.9) e-10 | 1.824
162 | 2FGLJ1026.7-1749 | 1RXS J102658.5-174905 | 156.74375 | -17.81628 | BL Lac | 0.114 | (7.5+/-1.5) e-10 | 1.927
163 | 2FGLJ1031.0+5053 | 1ES 1028+511 | 157.82708 | 50.89356 | BL Lac | 0 | (11.5+/-1.4) e-10 | 1.815
164 | 2FGLJ1026.3-8546 | PKS 1029-85 | 156.64292 | -85.72078 | BL Lac | 0 | (9.1+/-1.7) e-10 | 1.86
165 | 2FGLJ1032.6+3733 | B3 1029+378 | 158.16958 | 37.64075 | BL Lac | 0 | (8.9+/-1.4) e-10 | 2.223
166 | 2FGLJ1037.6+5712 | GB6 J1037+5711 | 159.43417 | 57.19894 | BL Lac | 0 | (28.8+/-2) e-10 | 1.906
167 | 2FGLJ1043.1+2404 | B2 1040+24A | 160.7875 | 24.14314 | BL Lac | 0.559117 | (9.7+/-1.4) e-10 | 2.075
168 | 2FGLJ1049.7+7240 | GB6 J1047+7238 | 161.94833 | 72.63678 | BL Lac | 0 | (5.6+/-1.2) e-10 | 2.348
169 | 2FGLJ1048.6+2336 | NVSS J104900+233821 | 162.25125 | 23.63928 | BL Lac | 0.319 | (5.7+/-1.2) e-10 | 2.233
170 | 2FGLJ1051.3+3938 | PB 00667 | 162.85583 | 39.72375 | BL Lac | 0.498 | (30.5+/-9.8) e-11 | 1.558
171 | 2FGLJ1051.8+0107 | BZB J1051+0103 | 162.96583 | 1.05344 | BL Lac | 0.265 | (5.1+/-1.2) e-10 | 2.077
172 | 2FGLJ1053.6+4928 | GB6 J1053+4930 | 163.43333 | 49.49861 | BL Lac | 0.140408 | (9.2+/-1.3) e-10 | 1.746
173 | 2FGLJ1054.5+2212 | 87GB 105148.6+222705 | 163.6275 | 22.182 | BL Lac | 0 | (16.3+/-1.7) e-10 | 2.147
174 | 2FGLJ1058.6+5628 | TXS 1055+567 | 164.65708 | 56.46992 | BL Lac | 0.14333 | (47.9+/-2.4) e-10 | 1.927
175 | 2FGLJ1058.4+0133 | 4C +01.28 | 164.62333 | 1.56614 | BL Lac | 0.888 | (51.2+/-3) e-10 | 2.217
176 | 2FGLJ1059.3-1132 | PKS B1056-113 | 164.80167 | -11.57283 | BL Lac | 0 | (21.5+/-2) e-10 | 2.169
177 | 2FGLJ1057.0-8004 | PKS 1057-79 | 164.68042 | -80.065 | BL Lac | 0.581 | (27.5+/-2.4) e-10 | 2.045
178 | 2FGLJ1103.4-2330 | 1ES 1101-232 | 165.90625 | -23.49022 | BL Lac | 0.186 | (4.9+/-1.3) e-10 | 1.801
179 | 2FGLJ1104.4+3812 | Mkn 421 | 166.11417 | 38.20908 | BL Lac | 0.031 | (297+/-6.1) e-10 | 1.771
180 | 2FGLJ1104.3+0729 | MG1 J110424+0730 | 166.1 | 7.51447 | BL Lac | 0 | (8.1+/-1.4) e-10 | 2.196
181 | 2FGLJ1107.5+0223 | BZB J1107+0222 | 166.89958 | 2.37375 | BL Lac | 0 | (6.5+/-1.3) e-10 | 2.112
182 | 2FGLJ1107.8+1505 | 87GB 110510.0+151723 | 166.95042 | 15.03628 | BL Lac | 0 | (5.9+/-1.2) e-10 | 1.864
183 | 2FGLJ1109.3+2414 | 1ES 1106+244 | 167.3175 | 24.18897 | BL Lac | 0.482297 | (29.7+/-9.7) e-11 | 1.711
184 | 2FGLJ1110.2+7134 | 87GB 110723.4+715023 | 167.65583 | 71.56597 | BL Lac | 0 | (31.4+/-8.6) e-11 | 2.096
185 | 2FGLJ1110.1-1835 | CRATES J111027.78-1835 | 167.615 | -18.59758 | BL Lac | 0 | (8.3+/-1.5) e-10 | 1.962
186 | 2FGLJ1117.2+2013 | RBS 0958 | 169.27583 | 20.23547 | BL Lac | 0.137969 | (18.6+/-1.8) e-10 | 1.702
187 | 2FGLJ1118.0+5354 | BZB J1117+5355 | 169.48833 | 53.9315 | BL Lac | 0 | (8.2+/-1.2) e-10 | 1.909
188 | 2FGLJ1121.0+4211 | RBS 0970 | 170.2 | 42.20392 | BL Lac | 0 | (11.7+/-1.5) e-10 | 1.606
189 | 2FGLJ1125.2+4933 | GB6 J1124+4933 | 171.22375 | 49.56975 | BL Lac | 0 | (27.9+/-9.1) e-11 | 1.883
190 | 2FGLJ1125.6-3559 | PMN J1125-3556 | 171.38042 | -35.95139 | BL Lac | 0.284 | (8.2+/-1.6) e-10 | 1.934
191 | 2FGLJ1126.0-0743 | 1RXS J112551.6-074219 | 171.46625 | -7.70597 | BL Lac | 0.279 | (3.5+/-1.1) e-10 | 1.673
192 | 2FGLJ1130.9+5809 | BZB J1131+5809 | 172.82792 | 58.14914 | BL Lac | 0.3596 | (40.9+/-8.7) e-11 | 2.189
193 | 2FGLJ1132.9+0033 | PKS B1130+008 | 173.19 | 0.57442 | BL Lac | 0.678 | (18.3+/-1.9) e-10 | 2.178
194 | 2FGLJ1136.7+7009 | Mkn 180 | 174.11 | 70.15711 | BL Lac | 0.046 | (11.5+/-1.3) e-10 | 1.74
195 | 2FGLJ1136.3+6736 | RX J1136.5+6737 | 174.12458 | 67.61828 | BL Lac | 0.134234 | (6.1+/-1.1) e-10 | 1.684
196 | 2FGLJ1137.0+2553 | RX J1136.8+2551 | 174.20833 | 25.84742 | BL Lac | 0.156 | (25.5+/-9.3) e-11 | 1.442
197 | 2FGLJ1141.9+1550 | MG1 J114208+1547 | 175.53208 | 15.79822 | BL Lac | 0.299 | (7.5+/-1.3) e-10 | 2.073
198 | 2FGLJ1143.1+6119 | 87GB 114026.7+613850 | 175.80042 | 61.36972 | BL Lac | 0 | (7.5+/-1.2) e-10 | 2.074
199 | 2FGLJ1150.1+2419 | B2 1147+24 | 177.58 | 24.29819 | BL Lac | 0.2 | (13+/-1.6) e-10 | 2.192
200 | 2FGLJ1150.5+4154 | RBS 1040 | 177.64417 | 41.91161 | BL Lac | 0 | (22.3+/-1.9) e-10 | 1.756
201 | 2FGLJ1151.5+5857 | TXS 1148+592 | 177.8525 | 58.98844 | BL Lac | 0 | (7.7+/-1.2) e-10 | 1.786
202 | 2FGLJ1151.5-1347 | PMN J1151-1347 | 177.875 | -13.79753 | BL Lac | 0.838 | (4.2+/-1.2) e-10 | 1.707
203 | 2FGLJ1154.0-0010 | 1RXS J115404.9-001008 | 178.51792 | -0.16911 | BL Lac | 0.254 | (8.2+/-1.4) e-10 | 1.86
204 | 2FGLJ1158.8+0939 | GB6 J1158+0937 | 179.72583 | 9.61953 | BL Lac | 0 | (6.6+/-1.3) e-10 | 2.144
205 | 2FGLJ1203.2+6030 | SBS 1200+608 | 180.76458 | 60.522 | BL Lac | 0.065343 | (7.8+/-1.2) e-10 | 1.993
206 | 2FGLJ1204.2+1144 | 1RXS J120413.0+114549 | 181.05042 | 11.76533 | BL Lac | 0.296 | (7.5+/-1.3) e-10 | 2.064
207 | 2FGLJ1204.3-0711 | 1RXS J120417.0-070959 | 181.06917 | -7.16931 | BL Lac | 0.184 | (7.6+/-1.4) e-10 | 2.129
208 | 2FGLJ1209.6+4121 | B3 1206+416 | 182.345 | 41.32803 | BL Lac | 0 | (4.3+/-1.1) e-10 | 1.577
209 | 2FGLJ1213.2-2616 | RBS 1080 | 183.34625 | -26.30283 | BL Lac | 0.278 | (5.5+/-1.3) e-10 | 2.411
210 | 2FGLJ1214.9+5004 | BZB J1215+5002 | 183.75333 | 50.03781 | BL Lac | 0 | (4.9+/-1.1) e-10 | 2.001
211 | 2FGLJ1217.8+3006 | 1ES 1215+303 | 184.46708 | 30.11664 | BL Lac | 0.13 | (54.9+/-3) e-10 | 2.019
212 | 2FGLJ1218.5-0122 | PKS 1216-010 | 184.64542 | -1.33144 | BL Lac | 0 | (15.9+/-1.9) e-10 | 2.104
213 | 2FGLJ1219.8-0310 | 1RXS J121946.0-031419 | 184.94042 | -3.23928 | BL Lac | 0.299 | (6.2+/-1.4) e-10 | 1.857
214 | 2FGLJ1221.3+3010 | PG 1218+304 | 185.34125 | 30.17675 | BL Lac | 0.18365 | (28.1+/-2.5) e-10 | 1.709
215 | 2FGLJ1221.4+2814 | W Comae | 185.38167 | 28.23283 | BL Lac | 0.102891 | (55.4+/-2.9) e-10 | 2.019
216 | 2FGLJ1223.9+8043 | S5 1221+80 | 185.91875 | 80.66792 | BL Lac | 0 | (11.2+/-1.4) e-10 | 2.265
217 | 2FGLJ1224.4+2436 | MS 1221.8+2452 | 186.10125 | 24.60656 | BL Lac | 0.218 | (6.3+/-1.2) e-10 | 2.035
218 | 2FGLJ1225.0+4335 | B3 1222+438 | 186.21458 | 43.58908 | BL Lac | 0 | (4.4+/-1.1) e-10 | 2.516
219 | 2FGLJ1226.7-1331 | PMN J1226-1328 | 186.72667 | -13.47744 | BL Lac | 0.456 | (12.5+/-1.8) e-10 | 1.968
220 | 2FGLJ1230.2+2517 | ON 246 | 187.55833 | 25.30208 | BL Lac | 0.135 | (8.8+/-1.4) e-10 | 2.274
221 | 2FGLJ1231.7+2848 | B2 1229+29 | 187.9325 | 28.7975 | BL Lac | 0.236451 | (35.4+/-2.3) e-10 | 1.869
222 | 2FGLJ1233.7-0145 | BZB J1233-0144 | 188.4225 | -1.74058 | BL Lac | 0 | (10.5+/-1.6) e-10 | 2.234
223 | 2FGLJ1241.6-1457 | RX J1241.8-1455 | 190.45583 | -14.93308 | BL Lac | 0 | (4.7+/-1.2) e-10 | 1.979
224 | 2FGLJ1243.1+3627 | Ton 116 | 190.8025 | 36.46247 | BL Lac | 0 | (18.8+/-1.8) e-10 | 1.698
225 | 2FGLJ1245.1+5708 | 1RXS J124510.5+571020 | 191.29125 | 57.16517 | BL Lac | 0 | (4.8+/-1) e-10 | 2.109
226 | 2FGLJ1248.2+5820 | PG 1246+586 | 192.07792 | 58.34131 | BL Lac | 0 | (41.2+/-2.3) e-10 | 1.949
227 | 2FGLJ1249.9+3705 | RX J1249.8+3708 | 192.44417 | 37.13081 | BL Lac | 0 | (6.8+/-1.3) e-10 | 1.584
228 | 2FGLJ1251.2+1045 | 1RXS 125117.4+103914 | 192.82417 | 10.65144 | BL Lac | 0.2454 | (4.3+/-1.2) e-10 | 1.929
229 | 2FGLJ1253.1+5302 | S4 1250+53 | 193.29958 | 53.01997 | BL Lac | 0 | (37.3+/-2.3) e-10 | 1.974
230 | 2FGLJ1254.1+6237 | BZB J1253+6242 | 193.4975 | 62.71583 | BL Lac | 0 | (32.6+/-8.4) e-11 | 2.024
231 | 2FGLJ1254.4+2209 | TXS 1252+224 | 193.63833 | 22.18414 | BL Lac | 0 | (6.9+/-1.3) e-10 | 1.993
232 | 2FGLJ1257.0+3650 | 1RXS 125716.0+364713 | 194.31875 | 36.78747 | BL Lac | 0.531 | (8.1+/-1.3) e-10 | 2.011
233 | 2FGLJ1303.1+2435 | MG2 J130304+2434 | 195.76333 | 24.56533 | BL Lac | 0.993 | (30.1+/-2.3) e-10 | 1.92
234 | 2FGLJ1305.7+7854 | S5 1304+79 | 196.25042 | 78.90997 | BL Lac | 0 | (34+/-8.7) e-11 | 2.346
235 | 2FGLJ1309.3+1154 | 4C +12.46 | 197.39125 | 11.90667 | BL Lac | 0 | (4.6+/-1.2) e-10 | 1.909
236 | 2FGLJ1309.4+4304 | B3 1307+433 | 197.35625 | 43.08481 | BL Lac | 0.691 | (17.8+/-1.7) e-10 | 1.839
237 | 2FGLJ1310.9+0036 | RX J1311.1+0035 | 197.77667 | 0.58603 | BL Lac | 0 | (3.6+/-1.6) e-10 | 1.516
238 | 2FGLJ1312.4-2157 | PKS 1309-216 | 198.13125 | -21.93978 | BL Lac | 1.491 | (21.7+/-2.2) e-10 | 2.024
239 | 2FGLJ1314.6+2348 | TXS 1312+240 | 198.68208 | 23.80744 | BL Lac | 0 | (14.5+/-1.6) e-10 | 2.084
240 | 2FGLJ1330.9+7001 | NVSS J133025+700141 | 202.60708 | 70.02803 | BL Lac | 0 | (47.9+/-9.5) e-11 | 1.756
241 | 2FGLJ1338.9+1152 | BZB J1338+1153 | 204.74583 | 11.88808 | BL Lac | 0 | (8.6+/-1.4) e-10 | 1.927
242 | 2FGLJ1340.5+4407 | RX J1340.4+4410 | 205.1225 | 44.16853 | BL Lac | 0.546 | (3.8+/-1.1) e-10 | 1.802
243 | 2FGLJ1351.4+1115 | RX J1351.3+1115 | 207.83708 | 11.24794 | BL Lac | 0 | (4.2+/-1.2) e-10 | 1.464
244 | 2FGLJ1352.6-4413 | PKS 1349-439 | 208.235 | -44.21122 | BL Lac | 0 | (6.4+/-1.4) e-10 | 2.126
245 | 2FGLJ1353.3+1435 | OP 186 | 208.345 | 14.59431 | BL Lac | 0 | (5.3+/-1.2) e-10 | 2.26
246 | 2FGLJ1354.5+3703 | FIRST J135426.6+370654 | 208.61125 | 37.11508 | BL Lac | 0 | (5.4+/-1.2) e-10 | 2.139
247 | 2FGLJ1358.0+0137 | RX J1357.6+0128 | 209.41083 | 1.47039 | BL Lac | 0 | (5+/-1.3) e-10 | 2.28
248 | 2FGLJ1359.9-3746 | PMN J1359-3746 | 209.95625 | -37.76658 | BL Lac | 0.334 | (5.9+/-1.5) e-10 | 1.626
249 | 2FGLJ1410.3+2811 | BZB J1410+2820 | 212.6225 | 28.34869 | BL Lac | 0 | (3.3+/-1.1) e-10 | 1.521
250 | 2FGLJ1418.1+2539 | BZB J1417+2543 | 214.48417 | 25.72303 | BL Lac | 0.237 | (4.5+/-1.1) e-10 | 1.98
251 | 2FGLJ1418.4-0234 | BZB J1418-0233 | 214.61 | -2.56014 | BL Lac | 0 | (21.5+/-2.1) e-10 | 1.699
252 | 2FGLJ1420.2+5422 | OQ 530 | 214.94375 | 54.3875 | BL Lac | 0.15254 | (7.7+/-1.2) e-10 | 2.366
253 | 2FGLJ1425.1+3615 | BZB J1424+3615 | 216.23083 | 36.26008 | BL Lac | 0 | (9.2+/-1.4) e-10 | 2.139
254 | 2FGLJ1426.1+3406 | BZB J1426+3404 | 216.53167 | 34.07397 | BL Lac | 0 | (4.9+/-1.1) e-10 | 1.834
255 | 2FGLJ1427.4-3306 | PKS B1424-328 | 216.9225 | -33.09197 | BL Lac | 0 | (9.4+/-1.6) e-10 | 2.482
256 | 2FGLJ1427.0+2347 | PKS 1424+240 | 216.75125 | 23.80017 | BL Lac | 0 | (115+/-4) e-10 | 1.778
257 | 2FGLJ1428.6+4240 | H 1426+428 | 217.13542 | 42.67283 | BL Lac | 0.129172 | (7.5+/-1.3) e-10 | 1.316
