id | Fermi name | Counterpart name | RA (J2000.0) | Dec (J2000.0) | Class | Redshift | Flux 1-100 GeV (ph/cm2/s) | Spectral index
827 | 2FGLJ1351.3-2909 | PKS 1348-289 | 207.945 | -29.20475 | AGU | -999 | (6.9+/-1.4) e-10 | 2.321
828 | 2FGLJ1406.2-2510 | NVSS J140609-250808 | 211.53917 | -25.13531 | AGU | -999 | (6.9+/-1.5) e-10 | 1.63
829 | 2FGLJ1407.5-4257 | CGRaBS J1407-4302 | 211.915 | -43.04208 | AGU | -999 | (7.1+/-1.5) e-10 | 1.914
830 | 2FGLJ1416.3-2415 | NVSS J141612-241812 | 214.05042 | -24.30347 | AGU | 0.13557 | (2.8+/-1.2) e-10 | 1.426
831 | 2FGLJ1416.0+1323 | PKS B1413+135 | 213.995 | 13.34006 | AGU | 0.247 | (4.3+/-1.1) e-10 | 2.597
832 | 2FGLJ1419.4-0835 | NVSS J141922-083830 | 214.84417 | -8.64192 | AGU | -999 | (7.4+/-1.4) e-10 | 2.172
833 | 2FGLJ1421.1-1117 | PMN J1420-1118 | 215.25042 | -11.30553 | AGU | -999 | (5.8+/-1.4) e-10 | 2.14
834 | 2FGLJ1419.4+7730 | 1RXS 141901.8+773229 | 214.75167 | 77.54061 | AGU | -999 | (30.7+/-9.1) e-11 | 1.782
835 | 2FGLJ1518.2-2733 | TXS 1515-273 | 229.515 | -27.52528 | AGU | -999 | (10.1+/-1.9) e-10 | 2.051
836 | 2FGLJ1537.4-7957 | PMN J1537-7958 | 234.41708 | -79.96786 | AGU | -999 | (6.8+/-1.5) e-10 | 2.189
837 | 2FGLJ1553.2-2424 | PKS 1550-242 | 238.38167 | -24.36842 | AGU | 0.332 | (6.2+/-1.6) e-10 | 2.453
838 | 2FGLJ1558.6-7039 | PKS 1552-705 | 239.39958 | -70.67411 | AGU | -999 | (6+/-1.4) e-10 | 2.099
839 | 2FGLJ1558.3+8513 | WN B1609.6+8517 | 240.13042 | 85.16347 | AGU | -999 | (6.4+/-1.1) e-10 | 2.524
840 | 2FGLJ1626.0-7636 | PKS 1619-765 | 246.66375 | -76.64911 | AGU | -999 | (4.9+/-1.4) e-10 | 1.795
841 | 2FGLJ1656.9-2008 | 1RXS 165655.0-201049 | 254.22917 | -20.18236 | AGU | -999 | (10.8+/-2.1) e-10 | 1.786
842 | 2FGLJ1657.1-1027 | PMN J1657-1021 | 254.38625 | -10.35453 | AGU | -999 | (9.9+/-2.1) e-10 | 2.416
843 | 2FGLJ1725.1-7714 | PKS 1716-771 | 260.96042 | -77.23058 | AGU | -999 | (7.9+/-1.6) e-10 | 2.571
844 | 2FGLJ1753.8-5012 | PMN J1753-5015 | 268.40958 | -50.25389 | AGU | -999 | (15+/-2.3) e-10 | 2.308
845 | 2FGLJ1759.2-4819 | PMN J1758-4820 | 269.74333 | -48.35333 | AGU | -999 | (13.9+/-2) e-10 | 2.182
846 | 2FGLJ1815.6-6407 | PMN J1814-6412 | 273.64958 | -64.21478 | AGU | -999 | (6+/-1.3) e-10 | 2.459
847 | 2FGLJ1811.0+5340 | 87GB 181007.0+533142 | 272.79708 | 53.54031 | AGU | -999 | (5.5+/-1.2) e-10 | 1.937
848 | 2FGLJ1816.7-4942 | PMN J1816-4943 | 274.23292 | -49.72914 | AGU | -999 | (11.9+/-1.8) e-10 | 2.256
849 | 2FGLJ1818.7+2138 | MG2 J181902+2132 | 274.77167 | 21.54306 | AGU | -999 | (5+/-1.3) e-10 | 2.292
850 | 2FGLJ1820.6+3625 | NVSS J182021+362343 | 275.0875 | 36.39533 | AGU | -999 | (4.1+/-1.2) e-10 | 1.799
851 | 2FGLJ1825.1-5231 | PKS 1821-525 | 276.30708 | -52.51597 | AGU | -999 | (24+/-2.4) e-10 | 2.023
852 | 2FGLJ1823.8+4312 | 1RXS 182418.7+430954 | 276.08 | 43.16375 | AGU | 0.487 | (4.4+/-1.1) e-10 | 2.343
853 | 2FGLJ1830.2-4441 | PMN J1830-4441 | 277.5025 | -44.68683 | AGU | -999 | (15.6+/-1.9) e-10 | 2.448
854 | 2FGLJ1829.1+2725 | 87GB 182712.0+272717 | 277.30833 | 27.48417 | AGU | -999 | (8.4+/-1.5) e-10 | 2.528
855 | 2FGLJ1830.0+1325 | MG1 J183001+1323 | 277.50292 | 13.40386 | AGU | -999 | (7.8+/-1.9) e-10 | 2.021
856 | 2FGLJ1858.1-2510 | PMN J1858-2511 | 284.57958 | -25.18072 | AGU | -999 | (12.9+/-2.1) e-10 | 2.422
857 | 2FGLJ1911.5-1908 | PMN J1911-1908 | 287.87375 | -19.13989 | AGU | -999 | (7.3+/-1.9) e-10 | 1.913
858 | 2FGLJ1913.4+4440 | 1RXS 191401.9+443849 | 288.5075 | 44.64264 | AGU | -999 | (3.4+/-1.1) e-10 | 1.689
859 | 2FGLJ1922.6-7454 | SUMSS J192240-745348 | 290.66708 | -74.89689 | AGU | -999 | (5.7+/-1.3) e-10 | 2.029
860 | 2FGLJ1940.8-6213 | PKS 1936-623 | 295.34 | -62.18886 | AGU | -999 | (6.4+/-1.3) e-10 | 2.493
861 | 2FGLJ1941.6+7218 | 87GB 194202.1+721428 | 295.36208 | 72.36172 | AGU | -999 | (10+/-1.7) e-10 | 2.62
862 | 2FGLJ1936.9+8402 | 6C B194425+834912 | 294.41542 | 83.94153 | AGU | -999 | (4.2+/-1) e-10 | 2.029
863 | 2FGLJ1954.4-1607 | 1RXS 195500.6-160328 | 298.75208 | -16.06053 | AGU | -999 | (7.1+/-1.7) e-10 | 2.131
864 | 2FGLJ1959.9-4727 | SUMSS J195945-472519 | 299.93917 | -47.42197 | AGU | -999 | (14+/-1.8) e-10 | 1.712
865 | 2FGLJ1959.6-2931 | PMN J2000-2931 | 300.07042 | -29.50728 | AGU | -999 | (6.6+/-1.6) e-10 | 2.584
866 | 2FGLJ2014.7+0646 | NVSS J201431+064849 | 303.62958 | 6.81383 | AGU | -999 | (5.2+/-1.6) e-10 | 1.737
867 | 2FGLJ2031.0+1938 | RX J2030.8+1935 | 307.73792 | 19.60367 | AGU | -999 | (7.5+/-1.5) e-10 | 1.876
868 | 2FGLJ2040.2-7109 | PKS 2035-714 | 310.03542 | -71.24783 | AGU | 0.16176 | (4.4+/-1.1) e-10 | 2.026
